	Bayesian Skyline: ref_25_merA_POK_combined.log			
Time	Mean	Median	Upper	Lower
22.842425748281627	30847.782134423273	22167.712831445566	107138.59304684434	2933.6247126918124
-2.6980559728942737	30817.437931388802	22158.376113591527	106860.22268585344	2897.3493658583766
-28.238537694070175	30759.54243219249	22089.941660517234	107014.76299493462	2856.7166202243448
-53.779019415246076	30751.67305504175	22055.611757473613	107177.49293797728	2824.167597418701
-79.31950113642198	30703.619569921226	22001.740534684974	107185.99593604649	2785.2261560723514
-104.85998285759788	30662.13891205169	21948.341352777537	107014.54685468799	2759.4592466747254
-130.40046457877378	30619.22965931968	21908.462032331852	107222.51780100285	2720.401345009449
-155.94094629994967	30550.652264164153	21827.1616851542	107296.85262109753	2668.3306586139756
-181.48142802112557	30519.966971545484	21767.627138437878	107581.11556121313	2642.7073146187818
-207.02190974230146	30456.16322823253	21717.933593744157	107581.11556121313	2611.6763021429206
-232.56239146347735	30415.541614664493	21657.60130635947	107749.82864530661	2560.5863084357024
-258.1028731846533	30354.923865948243	21562.71899883246	107840.44493367925	2536.985987891348
-283.6433549058292	30288.83156517568	21474.538464550104	107965.54589346197	2498.535927176865
-309.1838366270051	30208.073096868487	21371.61070847812	107821.4595058151	2466.731416008812
-334.72431834818104	30180.20241484562	21292.24795844195	108069.10904213027	2428.2626751286125
-360.26480006935697	30116.078439734327	21186.338402335983	108255.44143768634	2400.2384943324905
-385.8052817905329	30057.249387414715	21108.326721578123	108467.41844358105	2379.3515118740534
-411.3457635117088	29997.98321682695	21016.925168247555	108504.55493182532	2358.059687437859
-436.88624523288473	29928.941343098315	20941.512757055592	108507.83746069063	2331.2193507579836
-462.42672695406065	29865.248399897304	20817.334608819656	108468.95662165915	2296.559855907338
-487.9672086752366	29761.446069211004	20702.852726288536	108418.90157001078	2253.8181620241603
-513.5076903964125	NaN	NaN	NaN	NaN
