	Bayesian Skyline: ref_25_rpoB_AQT_combined.log			
Time	Mean	Median	Upper	Lower
-4496.208520707613	916753.107157428	544073.7663537073	3608794.8824140374	63917.45614879786
-4594.787437688032	900782.2809155675	533943.0961893296	3590535.967663352	59829.40147750393
-4693.36635466845	886128.637015586	524762.5234996844	3574727.2930114754	56719.21025659522
-4791.945271648869	870986.0979078851	516252.7060394358	3550229.3649871526	53634.345590113095
-4890.524188629287	856917.8635831753	508533.73882717127	3534655.7184607433	51384.13444951749
-4989.103105609705	842569.3026946913	501249.9035243537	3519558.933114045	48617.050813564485
-5087.682022590124	827894.6419158851	494651.7272650481	3491194.7354292185	46089.1295470693
-5186.260939570542	815225.2934488539	487957.37154049746	3469827.3636425277	43579.7460250747
-5284.839856550961	800949.8152123444	481767.8217203302	3446968.059886045	41108.78048437348
-5383.418773531379	787414.2253198468	475237.5011883567	3426016.8256826513	38681.857354398446
-5481.997690511797	774439.5483347456	469542.41612268204	3397977.5757189854	36815.89186904555
-5580.576607492216	762650.1591757706	463518.2581193846	3376821.3913885206	35129.50591345946
-5679.155524472634	750470.3435527097	457989.5179467652	3351926.9948022924	32906.76585709303
-5777.734441453053	736762.7957710186	451544.93993750034	3311209.4305275176	31105.99966700236
-5876.313358433471	724729.3099996678	445825.99546287046	3279371.804831585	29182.696816911484
-5974.892275413889	712850.6880719454	440049.7600848076	3245089.693725655	27504.28035689172
-6073.471192394308	701570.1416996751	434307.93142267416	3217335.2308767107	25120.251728658663
-6172.050109374726	690990.7160899112	429311.75817624625	3187938.300424272	23671.957508914762
-6270.629026355145	679771.3240133531	423606.92638605396	3162883.8947421894	22026.35126481195
-6369.207943335563	668642.8980566672	418174.5900180849	3125587.6930573797	20456.331069238448
-6467.786860315981	657825.5264330937	411819.40596463403	3096652.6265823254	18917.16924628623
-6566.3657772964	647669.3203044556	405433.61056977534	3072221.6120119304	17447.154137076883
-6664.944694276818	636669.4727885682	398685.64993062324	3043135.8305469467	15652.564002345067
-6763.523611257237	626799.2277205682	392659.1714494049	3009712.015046512	14193.047584929833
-6862.102528237655	616873.1898365697	386005.1303328736	2982349.2945797723	13107.75885304002
-6960.681445218073	607059.2553037055	379235.8835519617	2951181.1158387684	11821.344554264399
-7059.260362198492	597587.6656838258	372277.22356784536	2920670.81611051	10677.81466988908
-7157.83927917891	587470.7783474034	365095.0784745675	2881740.166963586	9556.17895090337
-7256.4181961593285	578624.6485369911	357853.7974894397	2840471.5982489046	8586.915943648535
-7354.997113139747	569311.9392095376	350835.6564484495	2808835.4980040016	7817.6979661789655
-7453.576030120165	560331.4733114174	343087.78063020227	2771529.735295652	7120.335318356788
-7552.154947100584	551719.7845728917	335529.9694653895	2743824.103724388	6503.114635507767
-7650.733864081002	542619.4053742754	327376.0715176543	2693056.072789453	5919.987158517272
-7749.3127810614205	534294.8309700656	320104.29132663197	2666095.469390758	5467.090300212334
