	Bayesian Skyline: ref_25_rpoB_POK_combined.log			
Time	Mean	Median	Upper	Lower
-9256.260504042322	555793.9614203055	308154.5913593711	2438263.967972433	11074.863528129137
-9384.343009770077	547667.3219583037	302107.0286473195	2421038.9408280016	9872.313882929773
-9512.425515497831	539331.521663164	296586.8606053871	2408832.5896340357	8932.141800908272
-9640.508021225585	531329.3192165558	290519.808720076	2396075.8340677572	7840.535407571047
-9768.59052695334	523469.5853526452	285318.3293105257	2375454.432592959	7033.509292360629
-9896.673032681094	516622.78179251164	280385.6675047344	2360041.2827130444	6524.969170499308
-10024.755538408848	508189.54242895334	274537.4642027548	2356127.687312826	6008.227975448504
-10152.838044136603	501027.019471636	269556.3351766891	2334179.4128170293	5650.089371609252
-10280.920549864357	493598.62364536134	264528.3701160025	2315220.6651915153	5331.212053818222
-10409.003055592111	486690.9244907683	260111.53142548478	2301641.1363210096	5061.444355882681
-10537.085561319866	480247.27938485064	256136.4071816009	2288075.653190796	4807.458375741854
-10665.16806704762	NaN	NaN	NaN	NaN
