	Bayesian Skyline: ref_25_merA_AQT_combined.log			
Time	Mean	Median	Upper	Lower
1513.2392470086236	9458.974772769776	3438.9131511195064	44487.74313035758	219.2817911274765
1506.9511362112644	9373.56540222674	3374.77847043576	44282.86822884715	215.8280540232097
1500.6630254139052	9278.080479348399	3311.4117283758783	44031.30128484449	212.79593208232174
1494.374914616546	9166.148684233523	3245.0503321896576	43600.42262092508	210.65497137282284
1488.0868038191868	9077.896513971413	3181.7267615915416	43469.227524290276	207.87816786334363
1481.7986930218276	8992.144680450885	3120.121745940881	43324.586832067405	205.65125618654343
1475.5105822244684	8913.767896578753	3048.680077663814	42927.25388685871	202.35787600558808
1469.2224714271092	8801.374451474532	2984.341539377947	42912.84265016113	199.20560778152216
1462.93436062975	8706.32016052168	2924.0918071796846	42867.146364572414	196.17599838481385
1456.6462498323908	8630.530245815009	2859.3235504828854	42803.1898134876	194.22105930860153
1450.3581390350316	8544.583230085052	2799.198169785905	42619.04294895353	190.8078106648956
1444.0700282376724	8458.963922135013	2734.740219704199	42451.91918792174	188.30252937925107
1437.7819174403132	8398.4091527189	2673.143608766779	42411.02244247232	186.20619673678218
1431.493806642954	8337.8408934511	2622.283571771855	42369.97787923088	182.8814896244274
1425.2056958455948	8280.727748068142	2570.3973068893597	42343.306888525745	180.2536386151037
1418.9175850482357	8165.283392430475	2518.0843867072313	42076.9855239996	176.78286192644822
1412.6294742508765	8087.630117747205	2468.65244975694	42054.14605181712	174.50338518660394
1406.3413634535173	8017.525544887446	2419.5879150260835	41919.49484520788	171.1776206375915
1400.053252656158	7939.990259447315	2366.81433681115	41714.96953924277	168.74232295663367
1393.7651418587989	7833.274551613551	2318.8346396186153	41549.46584064521	165.75431677256637
1387.4770310614397	7789.6821537180185	2267.6490269892593	41482.695078024924	163.4810921655307
