	Bayesian Skyline: ref_25_merA_KEV_combined.log			
Time	Mean	Median	Upper	Lower
2014.0	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
2007.5415357515253	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
2001.0830715030506	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1994.624607254576	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1988.1661430061013	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1981.7076787576266	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1975.249214509152	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1968.7907502606772	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1962.3322860122025	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1955.8738217637278	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1949.4153575152532	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1942.9568932667785	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1936.4984290183038	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1930.039964769829	8250.649141745163	1225.278306655212	55678.91594842068	138.8935971676161
1923.5815005213544	8229.233841241601	1244.8450052062526	55335.78037702904	154.89420947474642
1917.1230362728797	8210.338191853207	1336.3567198742169	54540.05805731288	187.85918463922
1910.664572024405	8257.449092035316	1456.7075260158504	54162.1313076015	212.84388282536193
1904.2061077759304	8302.351091996772	1584.14060730019	53569.279922337286	236.64650840182216
1897.7476435274557	8383.530733210908	1709.3973662977667	53201.254961096456	262.62258872607515
1891.289179278981	8471.140843498904	1839.0848047635816	52843.23359380339	294.812599790928
1884.8307150305063	8567.15281364895	1969.9890914535576	52521.55987967313	329.69683982428126
1878.3722507820316	8682.518133151516	2110.453278469344	52520.408747704205	379.3524761601382
1871.913786533557	8703.69121295096	2239.5444495226698	52422.8227242913	97.42845259048346
1865.4553222850823	8142.449297924731	1334.1893478609202	51441.802030563114	52.28228673245043
1858.9968580366076	7572.12407508114	815.6320231039826	50253.20777788187	54.66441584227426
1852.538393788133	7059.415450286523	630.4030686998501	48398.655976855836	64.19292644034942
1846.0799295396582	6642.294819290577	568.4617351110642	46487.396750506894	73.23592278705091
1839.6214652911835	6088.94039941912	558.5618070775768	44266.46067953729	83.38767773151761
1833.1630010427089	5726.857005591528	564.3659774496535	41725.70442710794	92.13039230157288
1826.7045367942342	5436.437071886717	579.9477341731513	39599.91085476569	101.74814209343407
1820.2460725457595	5104.586145829699	598.8417812260983	37195.42083776781	109.2746806424573
1813.7876082972848	4904.6546488155045	621.3795867815603	35233.10585112841	116.57365678928767
1807.3291440488101	4670.761393670521	642.7007397651267	32526.00117100944	122.70657469433867
1800.8706798003354	4481.734256474596	664.3715234224575	30251.548223453035	129.43768216168485
1794.4122155518608	4319.740843270303	685.1035007385761	28103.320342467265	135.9359010035526
1787.953751303386	4168.358295957684	703.7994643836938	25412.651776613402	140.9530055112829
1781.4952870549114	3981.96525996397	722.498409564376	23339.186819400828	146.4447728781277
1775.0368228064367	3857.642960303513	741.0096359024523	21273.3352399295	151.5897960538026
1768.578358557962	3748.3596362417434	757.2529621510238	19718.6591109301	157.17057201690548
1762.1198943094873	3650.3773861918385	773.7273916215723	18153.257209423584	161.59888552697774
1755.6614300610127	3569.3335226772147	787.551722666444	17166.32636924174	166.65853603764324
1749.202965812538	3508.822952916299	802.3065302579945	16489.937221029428	169.50697222134107
1742.7445015640633	3444.795061845407	815.0091797130949	15592.54740996552	173.39556586499742
1736.2860373155886	3379.9523681376377	827.5071965606276	14966.270108888779	175.6815260766766
1729.827573067114	3302.4172674805454	840.2220203313342	14346.412711570065	179.4185485340112
1723.3691088186392	3211.9454829005313	853.5699574674591	13906.907135253054	182.26477983129527
1716.9106445701645	3145.2509391084136	864.6017443654686	13475.478570372492	185.7936641286715
1710.4521803216899	3114.199865546538	875.6323725415632	13101.766164332157	188.71671864352086
1703.9937160732152	3062.0599480299825	885.080852044574	12701.061686740542	191.85108542941282
1697.5352518247405	3016.2282823484907	895.50015407666	12409.910268163721	194.0149739778585
1691.0767875762658	2976.066462679136	905.6417949991115	12119.152381940745	196.70178757371878
1684.6183233277911	2929.4117287035174	914.6648828218725	11938.042119634903	198.33130374810975
1678.1598590793164	2884.573868461122	923.9171467643215	11712.04811119268	200.58471238053642
1671.7013948308418	2848.9315556498354	931.6747668972694	11609.429601824753	201.89868254583072
1665.242930582367	2817.4273739358855	938.667811926871	11481.935267558772	202.96246407282695
1658.7844663338924	2797.7613487826166	946.2470346073787	11358.79955956735	204.14954652225236
1652.3260020854177	2772.9687228133034	952.559606865825	11250.714781137178	205.7309006642874
1645.867537836943	2754.468034497649	959.8422428785528	11184.713685970757	206.94227185377957
1639.4090735884683	2735.595596603694	965.5807200559186	11026.03284366499	207.45848294366363
1632.9506093399937	2700.8687575601807	970.0465295573857	10894.504913153387	208.30920121102122
1626.492145091519	2685.1628102496484	975.0001873300732	10775.844614904663	209.151903060386
1620.0336808430443	2666.8678858492744	978.9714164810846	10728.41624691888	209.94008528575858
1613.5752165945696	2651.454993016254	984.8359023850826	10671.423624877541	210.7687923660143
1607.116752346095	2643.2982423551944	989.871245049393	10676.791515040282	211.3184972874855
1600.6582880976202	2633.6554005683706	994.2301169897383	10611.091085889944	212.26782619350803
1594.1998238491456	2612.9093761271606	999.601686642542	10564.62766852367	212.83285978991668
1587.7413596006709	2597.638321677351	1003.6151049066539	10547.036889812509	213.36467994773486
1581.2828953521962	2588.6444857152787	1007.5113093299282	10497.12267222065	213.74691338925194
1574.8244311037215	2582.862497596307	1010.5668891772099	10420.840929790023	213.98125365063564
1568.3659668552468	2576.6388182696915	1014.3221904267825	10471.664711247025	214.39826460461032
1561.9075026067721	2561.527212263447	1017.5184790928595	10434.426256740606	214.67392644348814
1555.4490383582975	2549.7639718455043	1020.6848492284669	10391.787966717331	214.9245353269578
1548.9905741098228	2546.194688607659	1022.6042334443196	10414.065231214141	214.98952123812776
1542.532109861348	2527.983146876534	1024.7321288194305	10339.859735894282	215.1574220613591
1536.0736456128734	2511.225349850663	1027.6286886835394	10275.901228472154	215.08784673407789
1529.6151813643987	2504.0698130054825	1030.3031131710547	10279.968208598715	215.24317349063955
1523.156717115924	2495.164723496394	1033.1278139238611	10240.058975725044	214.94381745747893
1516.6982528674494	2477.4185729781593	1034.9575541303018	10240.058975725044	214.84482972488985
1510.2397886189747	2469.1699186079145	1037.169969994193	10216.921691400765	214.974029686002
1503.7813243705	2463.850106700852	1040.3659390497617	10203.002257841033	214.64502714462657
1497.3228601220253	2455.195704120313	1042.3057426965597	10203.617190669002	214.94381745747893
1490.8643958735506	2452.7203541118024	1043.8759807602382	10203.617190669002	214.67392644348814
1484.405931625076	2451.9761862943274	1046.1351692497956	10220.905436900175	214.45055284821592
1477.9474673766013	2448.2825432590344	1047.727663710334	10250.704729740723	214.5921701060971
1471.4890031281266	2448.3409188740616	1050.3460096721105	10271.646815610422	214.88438221292975
1465.0305388796519	2443.442037473042	1051.233604724408	10284.092903111556	214.6231832647979
1458.5720746311772	2442.2426822108537	1053.0690985076617	10303.459594513857	214.54872450020846
1452.1136103827025	2440.3712709794377	1054.0296096104937	10326.900934337258	214.12848469771944
1445.6551461342278	2427.144208211834	1055.3846639632675	10360.781824284482	214.05124007209147
1439.1966818857532	2405.5227933629235	1056.474582250554	10364.691102879191	213.85697918862698
1432.7382176372785	2403.006962932981	1057.508266405956	10382.841576871228	213.82027108044028
1426.2797533888038	2398.1651814767006	1058.7884689774987	10391.647193333456	213.48373707146078
1419.821289140329	2395.9088148098267	1059.914436846028	10386.787622777792	213.36467994773486
1413.3628248918544	2386.976848674695	1060.2564612264187	10364.691102879191	213.29869118033662
1406.9043606433797	2380.926222871087	1061.2766497707046	10370.044807000642	213.0554298155989
1400.445896394905	2373.846539098161	1062.844268962687	10393.907240184513	212.85471952822024
1393.9874321464304	2370.42071063848	1064.3147989639056	10411.565485308933	212.52126462394585
1387.5289678979557	2373.76786620706	1065.4160787307956	10426.718963829693	212.053480545598
1381.070503649481	2359.5671784031165	1065.6918340888296	10418.24183365154	212.07103943231488
1374.6120394010063	2356.2110930643216	1065.8452156822118	10428.38449632056	211.78760172927952
